REGIÃO,MUNICÍPIO,POPULAÇÃO,ELEITORADO,MULHERES,HOMENS,DOMICÍLIOS,DISTRITOS,ANIVERSÁRIO,TRANSFERÊNCIA,VALOR BOLSA FAMILIA,VALOR BPC,VALOR AUXÍLIO GÁS,VALOR SEGURO DESEMPREGO,BENEFICIADOS BOLSA FAMÍLIA,VALOR MÉDIO BOLSA FAMILIA,BENEFIADOS AUXÍLIO GÁS,BENEFICIADOS BPC,DEFICIENTES BPC,IDOSOS BPC,EQUIPES SAÚDE BUCAL,REALIZAÇÃO PRÉ NATAL SUS,EXAMES COLO DO UTERO,MAMOGRAFIAS,BENEFICIADOS FARMÁCIA POPULAR,BENEFICADOS PÉ-DE-MEIA,LEI PAULO GUSTAVO,VALOR PNATE,VALOR PNLD,EMPREGOS FORMAIS,NOVOS EMPREGOS NO MÊS,PLANO SAFRA,INVESTIMENTO PRONAF,MORADIAS MCMV OGU - Faixa 1 ESSES DADOS O IDEAL É A OUTRA PLANILHA QUE ENVOLVE TODAS AS ENTREGAS MCMV,LUZ PARA TODOS,PAC SELEÇÃO,PAC SELEÇÕES - EDUCAÇÃO CRECHE/ESCOLA DE EDUCAÇÃO INFANTIL,PAC SELEÇÕES - EDUCAÇÃO ESCOLA EM TEMPO INTEGRAL,PAC SELEÇÕES - ONIBUS ESCOLAR,PAC UBS,PAC SELEÇÕES - UNIDADE ODONTOLOGICA MOVEL,CENTRAL SAMU,PAC SELEÇÕES CAPS,PAC SELEÇÕES - SAMU,PAC SELEÇÕES - CIDADES SUSTENTÁVEIS ESGOTAMENTO SANITÁRIO,ABASTAECIMENTO DE ÁGUA URBANO,GESTÃO DE RESÍDUOS SÓLIDOS,PAC SELEÇÕES CEU CULTURA,PAC SELEÇÕES - ESPAÇO ESPORTIVO COMUNITÁRIO,POLICLINICA,MATERNIDADE COM CENTRO DE PARTO NORMAL,CENTRO COUNITÁRIO PELA VIDA ,COMPLEXO FERROVIÁRIO,URBANIZAÇÃO DE FAVELAS,PREVENÇÃO DE GRANDES DESASTRES,MOBILIDADE,REGULARIZAÇÃO FUNDIÁRIA,OFICINA ORTOPÉDICA
BOLSÃO,ÁGUA CLARA,17647,12917,49.38,50.62,7335,1,2025-02-08,23970000,6600000,2280000,242660,2770000,1600,694.92,748,378,191,187,4,316,0,0,556,257,176590,42780,250670,7760,151,78360000,0,25,0.0,3.0,1.0,,,1.0,,,,,1,,,,,,,,,,,,,
NORTE,ALCINÓPOLIS,4648,3743,48.14,51.86,2632,1,2025-04-22,8420000,1790000,1070000,33380,234060,448,676.5,104,176,84,92,1,51,0,0,9,67,77720,27400,71110,759,1,41890000,952370,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
SUL FRONTEIRA,AMAMBAI,41414,26674,50.93,49.07,15691,1,2025-09-28,39170000,23260000,11370000,566180,2070000,5740,673.78,1760,1880,1260,618,9,452,0,0,2880,759,381460,155160,584980,5760,40,156320000,2330000,53,0.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,
PANTANAL,ANASTÁCIO,24741,17808,50.39,49.61,10844,1,2025-05-08,24550000,9730000,4100000,130400,2120000,2390,674.72,403,673,401,272,8,330,0,0,220,420,268650,46400,423180,3300,56,24840000,3680000,47,0.0,3.0,,,,1.0,,,1.0,1.0, ,,,,,,,,,,,,,
LESTE,ANAURILÂNDIA,7735,6149,49.71,50.29,4351,1,2025-11-11,12310000,2340000,1010000,56460,763630,583,668.02,175,168,137,31,2,78,0,0,731,94,102510,0,99060,2090,36,139580000,1040000,32,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
LESTE,ANGÉLICA,11203,8400,48.93,51.07,5030,2,2025-05-13,13390000,3510000,995870,55700,997210,888,670.76,171,167,136,31,4,141,0,0,606,161,130960,26030,220480,6790,35,21860000,881030,39,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
SUL FRONTEIRA,ANTÔNIO JOÃO,9641,7673,50.2,49.8,3903,2,2025-03-18,10810000,3300000,2750000,82650,414230,802,679.65,256,452,219,233,3,144,0,0,165,259,105500,69030,198790,815,0,63260000,11250,9,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,
BOLSÃO,APARECIDA DO TABOADO,29446,18664,50.17,49.83,13351,1,2025-09-28,28030000,7580000,4990000,222070,3920000,1950,658.09,689,822,423,399,6,349,0,0,3320,477,263320,3800,205910,11370,203,50270000,980290,625,0.0,2.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,
PANTANAL,AQUIDAUANA,48561,35478,50.22,49.78,21169,5,2025-08-15,57260000,23070000,18540000,156710,3970000,5540,690.56,487,3060,1610,1450,17,660,0,45,1730,1140,468210,119170,638090,7370,29,88500000,513910,90,74.0,5.0,1.0,,1.0,,1.0,,,,1,,,,1.0,,,,,,,,,
SUL FRONTEIRA,ARAL MOREIRA,11085,8140,49.9,50.1,3855,1,2025-05-13,12440000,6350000,2130000,57100,429180,1550,684.18,177,355,175,180,1,129,0,0,213,338,138680,82910,183100,2220,149,101000000,711030,71,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
CAMPO GRANDE,BANDEIRANTES,8276,6694,48.56,51.44,4265,2,2025-06-20,9830000,3240000,2250000,67510,676030,790,684.07,210,375,153,222,1,91,0,0,820,102,91460,40870,121080,1730,22,112460000,395000,25,0.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,
LESTE,BATAGUASSU,24004,18679,50.13,49.87,10525,2,2025-12-11,25250000,6670000,4130000,58070,3000000,1750,641.4,179,684,463,221,6,445,0,0,1440,429,240750,49820,323870,7010,59,54450000,1800000,96,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
